state,time
 South Dakota,Regional
 Utah,Regional
 Wyoming,Regional
 American Samoa,No
 Arkansas,No
 Guam,No
 Iowa,No
 Nebraska,No
 North Dakota,No
 N. Mariana Islands,No
 South Carolina,7-Apr
 Missouri,6-Apr
 Alabama,4-Apr
 Florida,3-Apr
 Georgia,3-Apr
 Mississippi,3-Apr
 Oklahoma,April 2 (partial advisory)
 Maine,2-Apr
 Tennessee,2-Apr
 Texas,2-Apr
 Nevada,1-Apr
 Pennsylvania,1-Apr
 Arizona,31-Mar
 District of Columbia,30-Mar
 Kansas,30-Mar
 Maryland,30-Mar
 North Carolina,30-Mar
 Virginia,30-Mar
 Alaska,28-Mar
 Montana,28-Mar
 Rhode Island,28-Mar
 Minnesota,27-Mar
 New Hampshire,27-Mar
 Kentucky,March 26 (advisory)
 Colorado,26-Mar
 Hawaii,25-Mar
 Idaho,25-Mar
 Indiana,25-Mar
 U.S. Virgin Islands,25-Mar
 Vermont,25-Mar
 Wisconsin,25-Mar
 Massachusetts,March 24 (advisory)
 Delaware,24-Mar
 Michigan,24-Mar
 New Mexico,24-Mar
 Connecticut,23-Mar
 Louisiana,23-Mar
 Ohio,23-Mar
 Oregon,23-Mar
 Washington,23-Mar
 West Virginia,23-Mar
 New York,22-Mar
 Illinois,21-Mar
 New Jersey,21-Mar
 California,19-Mar
 Puerto Rico,15-Mar